a / an	неопределённый артикль (a/an)
athlete	спортсмен; атлет
atmosphere	атмосфера
attach	прикрепить
attack	атака
attempt	попытка
attend	участие
attention	внимание
attitude	отношение
attorney	адвокат
attract	привлечение
attraction	привлечение
attractive	привлекательный
audience	аудитория
August	август
aunt	тетя
author	автор
authority	орган
automatic	автоматически
automatically	автоматически
available	доступно
average	среднее
avoid	избегайте
award	премия
aware	учитывая
away	от отеля
awesome	потрясающий; классный
awful	ужасно
baby	детские
back	назад
background	справочная информация
backward	назад
bacteria	бактерии
bad	плохо
badly	плохо
bag	сумка
bake	выпекать
balance	баланс
ball	мяч
ban	запрет
banana	банан
band	группа
bank (money)	банк
bank (river)	берег (реки)
bar	бар
barrier	барьер
base	база
baseball	бейсбол
based	на основе
basic	основные
basically	в основном
basis	основы
basketball	баскетбол
bath	ванна
bathroom	ванная комната
battery	батарея
battle	битва
be	быть
beach	пляж
bean	фасоль; боб
bear (deal with)	терпеть; справляться (с)
bear (animal)	медведь
beat	бить
beautiful	красивая
beauty	салон красоты
because	потому что
become	стать
bed	кровати
bedroom	спальня
bee	пчела
beef	говядина
beer	пиво
before	перед
beg	умолять; просить
begin	начать
beginning	начало
behave	ведут себя
behavior	поведение
behind	позади
being	существо; бытие
belief	вера
believe	верить
bell	белл
belong	принадлежат
below	ниже
belt	пояса
bend	изгиб
benefit	преимущества
bent	бент
best	лучшие
bet	ставка
better	лучше
between	между
beyond	за пределами
bicycle	велосипедов
big	большой
bike	велосипед
bill	билл
billion	миллиард
biology	биология
bird	птица
birth	рождение
birthday	день рождения
bit	бит
bite	укус
bitter	горький
black	черный
blame	вину
blank	пустой
blind	слепой
block	блок
blog	блог
blond	блондин; светловолосый
blood	кровь
blow	удар
blue	голубой
board	совет
boat	лодка
body	тело
boil	кипения
bomb	бомба
bond	связь; облигация
bone	кость
book	книга
boot	загрузки
border	граница
bored	скучно
boring	скучно
born	родился
borrow	брать
boss	босс
both	оба
bother	беспокоить
bottle	бутылка
bottom	внизу
bowl	чаша
box	коробка
boy	мальчик
boyfriend	бойфренд
brain	мозг
branch	филиал
brand	бренд
brave	храбрый
bread	хлеб
break	перерыв
breakfast	завтрак
breast	грудь
breath	дыхание
breathe	дышать
breathing	дыхание
bride	невеста
bridge	мост
brief	краткий
bright	яркий
brilliant	блестящий
bring	принесите
broad	широкий
broadcast	трансляция
broken	сломанный
brother	брат
brown	коричневый
brush	кисть
bubble	пузырь
budget	бюджет
build	построить
building	здание
bullet	пуля
bunch	букет
burn	записать
bury	похоронить
bus	автобус
bush	буш
business	бизнес
businessman	бизнесмен
busy	занят
but	но
butter	сливочное масло
button	кнопка
buy	купить
by	по
bye	пока
cable	кабель
cafe	кафе
cake	торт
calculate	вычислить
call	вызов
calm	спокойствие
camera	камеры
camp	лагерь
campaign	кампания
camping	кемпинг
campus	кампус; университетский городок
can1	мочь; уметь
can2	банка (жестяная); консервная банка
cancel	отмена
cancer	рак
candidate	кандидат
candy	конфеты
cannot	не удается
cap	колпачок
capable	способных
capacity	емкость
capital	столица
captain	капитан
capture	захват
car	автомобиль
card	карта
care	уход
career	карьера
careful	тщательно
carefully	тщательно
careless	небрежно
carpet	ковер
carrot	морковь
carry	нести
cartoon	мультфильм; карикатура
case	дело
cash	наличные
cast	ролях
cat	кошка
catch	поймать
category	категория
cause	причина
CD	КОМПАКТ-ДИСК
ceiling	потолок
celebrate	отпраздновать
celebration	празднование
celebrity	знаменитость
cell	ячейка
cent	%
center	центр
central	центральный
century	века
ceremony	церемония
certain	некоторые
certainly	конечно
chain	цепь
chair	кресло
chairman	председатель
challenge	вызов
champion	чемпион
chance	шанс
change	изменить
channel	канал
chapter	глава
character	персонаж
characteristic	характеристика
charge	заряд
charity	благотворительность
chart	диаграмма
chat	чат
cheap	дешевые
cheat	чит
check	проверить
cheerful	веселый
cheese	сыр
chef	шеф-повар
chemical	химическая
chemistry	химия
chest	грудь
chicken	курица
chief	начальник
child	ребенок
childhood	детство
chip	чип
chocolate	шоколад
choice	выбор
choose	выбрать
church	церковь
cigarette	сигареты
circle	круг
circumstance	обстоятельство
cite	цитировать; ссылаться
citizen	гражданин
city	город
civil	гражданское
claim	претензии
class	класс
classic	классик
classical	классический
classroom	классная
clause	пункт (договора); придаточное предложение
clean	очистить
clear	очистить
clearly	ясно
clerk	клерк
clever	умный
click	нажмите кнопку
client	клиент
climate	климат
climb	восхождение
clock	будильник
close1	закрывать; закрыться
close2	близкий; тесный
closed	закрыто
closely	внимательно
closet	шкаф
cloth	ткань
clothes	одежда
clothing	одежда
cloud	облако
club	клуб
clue	подсказка; улика
coach	тренер
coal	уголь
coast	побережье
coat	пальто
code	код
coffee	кофе
coin	монета
cold	холодная
collapse	свернуть
colleague	коллега
collect	сбор
collection	коллекция
college	колледж
color	цвет
colored	цветной; окрашенный
column	колонка
combination	комбинация
combine	комбинат
come	прийти
comedy	комедия
comfort	комфорт
comfortable	удобный
command	команда
comment	комментарий
commercial	коммерческие
commission	комиссия
commit	фиксации
commitment	обязательство
committee	комитет
common	общие
commonly	обычно
communicate	общаться
communication	коммуникации
community	сообщество
company	компания
compare	сравнить
comparison	сравнение
compete	соревноваться
competition	конкурс
competitive	конкурентных
competitor	конкурент; участник соревнования
complain	пожаловаться
complaint	жалоба
complete	завершить
completely	полностью
complex	комплекс
complicated	сложные
component	компонент; составная часть
computer	компьютер
concentrate	концентрат
concentration	концентрация
concept	концепция
concern	беспокойство
concerned	заинтересованные
concert	концерт
conclude	заключение
conclusion	заключение
condition	состояние
conduct	поведения
conference	конференция
confidence	доверие
confident	уверенно
confirm	подтвердите
conflict	конфликт
confuse	путать
confused	путать
confusing	заблуждение
congress	конгресс
connect	подключение
connected	подключен
connection	подключение
conscious	сознавая
consequence	последствие
conservative	консервативная(ый)
consider	рассмотрим
consideration	рассмотрение
consist	состоят
consistent	последовательный; согласующийся
constant	константа
constantly	постоянно
construct	конструкция
construction	строительство
consume	потреблять
consumer	потребитель
contact	контакт
contain	содержат
container	контейнер
contemporary	современный
content1	довольный; удовлетворённый
contest	конкурс
context	контекст
continent	континент
continue	продолжить
continuous	непрерывный
contract	контракт
contrast	контраст
contribute	способствовать
contribution	вклад
control	управления
convenient	удобный
conversation	разговор
convert	конвертировать
convince	убедить
convinced	убеждённый
cook	кук
cookie	печенье
cooking	приготовление пищи
cool	классно
copy	копия
core	ядро
corn	кукуруза
corner	угол
corporate	корпоративный
correct	правильно
correctly	правильно
cost	стоимость
costume	костюм
cotton	хлопок
could	может
council	совет
count	количество
country	страна
countryside	сельской местности
county	уезд
couple	пара
courage	мужество
course	курс
court	суд
cousin	двоюродный брат
cover	обложка
covered	покрыты
cow	корова
crash	аварии
crazy	сумасшедший
cream	крем
create	создать
creation	создание; творение
creative	творческий
creature	существо
credit	кредит
crew	экипаж; команда
crime	преступность
criminal	уголовное
crisis	кризис
criterion	критерий
critic	критик
critical	критический
criticism	критика
criticize	критиковать
crop	урожай
cross	крест
crowd	толпа
crowded	переполненный
crucial	решающее значение
cruel	жестокие
cry	крик
cultural	культурные
culture	культура
cup	кубок
cupboard	шкаф
cure	лечение
curly	вьющиеся
currency	валюта
current	текущий
currently	в настоящее время
curtain	занавес
curve	кривая
curved	изогнутые
custom	пользовательские
customer	клиент
cut	вырезать
cycle	цикл
dad	папа
daily	ежедневно
damage	повреждения
dance	танец
dancer	танцовщица
dancing	танцы
danger	опасность
dangerous	опасный
dark	темный
data	данные
date	дата
daughter	дочь
day	день
dead	мертвых
deal	сделка
dear	дорогой
death	смерть
debate	дебаты
debt	задолженность
decade	десятилетие
December	декабрь
decent	приличный; достойный
decide	решение
decision	решение
declare	объявления
decline	снижение
decorate	украсить
decoration	украшения
decrease	уменьшение
deep	глубокое
deeply	глубоко
defeat	поражение
defend	защитить
defense	обороны
define	определить
definite	определенное
definitely	определенно
definition	определение
degree	степень
delay	задержка
deliberate	умышленное
deliberately	намеренно
delicious	вкусный
deliver	доставить
delivery	доставки
demand	спрос
demonstrate	демонстрации
dentist	стоматолог
deny	отрицать
department	кафедра
departure	отъезд
depend	зависит от
depressed	депрессия
depressing	удручает
depth	глубина
describe	опишите
description	описание
desert	пустыня
deserve	заслуживают
design	дизайн
designer	дизайнер
desire	желание
desk	стол
desperate	отчаянные
despite	несмотря на
dessert	десерт
destination	пункт назначения
destroy	уничтожить
detail	деталь
detailed	подробные
detect	обнаруживать
detective	детектив (сыщик)
determine	определить
determined	определяется
develop	разработка
development	развития
device	устройство
diagram	диаграмма
dialogue	диалог
diamond	алмаз
diary	дневник
dictionary	словарь
die	умереть
diet	диета
difference	разница
different	разные
differently	по-разному
difficult	трудно
difficulty	трудности
dig	копать
digital	цифровые
dinner	ужин
direct	прямой
direction	направление
directly	прямо
director	директор
dirt	грязь
dirty	грязные
disadvantage	недостаток
disagree	не согласен
disappear	исчезают
disappointed	разочарование
disappointing	разочарование
disaster	катастрофы
discipline	дисциплины
discount	скидка
discover	откройте для себя
discovery	открытие
discuss	обсудить
discussion	обсуждение
disease	болезнь
dish	блюдо
dishonest	нечестно
disk	диск
dislike	не нравится
dismiss	уволить
display	дисплей
distance	расстояние
distribute	распространение
distribution	распределение
district	район
divide	разделить
division	отдел
divorced	развелись
do1	делать
doctor	доктор
document	документ
documentary	документальный фильм
dog	собака
dollar	доллар
domestic	внутренние
dominate	доминируют
donate	жертвовать; делать пожертвование
door	двери
double	двухместный
doubt	сомнения
down	вниз
download	скачивать; загрузка
downstairs	на первом этаже
downtown	центр города
downward	вниз
dozen	дюжина
draft	проект
drag	перетащите
drama	драма
dramatic	драматический
draw	ничья
drawing	рисование
dream	мечта
dress	платье
dressed	одетый
drink	напиток
drive	привод
driver	драйвер
driving	вождение
drop	падение
drug	препарат
drum	барабан
drunk	пьяные
dry	сухой
due	из-за
during	во время
dust	пыль
duty	долг
DVD	DVD
each	каждый
ear	ухо
early	в начале
earn	заработать
earth	земля
earthquake	землетрясение
easily	легко
east	восток
eastern	восточная
easy	легко
eat	съесть
economic	экономические
economy	экономика
edge	край
edit	редактировать; монтаж
edition	издание
editor	редактор
educate	образование
educated	образование
education	образование
educational	образовательный; учебный
effect	эффект
effective	эффективное
effectively	эффективно
efficient	эффективное
effort	усилия
egg	яйцо
eight	восемь
eighteen	восемнадцать
eighty	восьмидесяти
either	либо
elderly	пожилые люди
elect	избрать
election	выборы
electric	электрические
electrical	электрические
electricity	электричество
electronic	электронные
element	элемент
elephant	слон
elevator	лифт
eleven	одиннадцать
else	остальное
elsewhere	где-нибудь ещё
email	отправить по электронной почте
embarrassed	смущенный
embarrassing	неловкое
emerge	выйти
emergency	чрезвычайная
emotion	эмоции
emotional	эмоциональное
emphasis	акцент
emphasize	подчеркнуть
employ	использовать
employee	сотрудник
employer	работодатель
employment	занятость
empty	пустая
enable	включить
encounter	встреча
encourage	поощрять
end	конец
ending	окончание
enemy	враг
energy	энергия
engage	участвовать
engaged	участие
engine	двигатель
engineer	инженер
engineering	инжиниринг
enhance	улучшать; усиливать
enjoy	наслаждайтесь
enormous	огромные
enough	достаточно
ensure	обеспечить
enter	введите
entertain	развлекать
entertainment	развлечения
enthusiasm	энтузиазм
enthusiastic	энтузиазм
entire	весь
entirely	полностью
entrance	вход; вступление
entry	вход
environment	окружающая среда
environmental	окружающей среды
episode	эпизод; серия
equal	равно
equally	не менее
equipment	оборудование
error	ошибка
escape	побег
especially	особенно
essay	эссе
essential	основные
establish	создать
estate	недвижимость
estimate	оценить
ethical	этический; нравственный
euro	евро
evaluate	оценивать
even	даже
evening	вечер
event	события
eventually	в конце концов
ever	когда-либо
every	каждый
everybody	все
everyday	повседневный
everyone	каждый
everything	все
everywhere	везде
evidence	свидетельства
evil	зло
exact	точное
exactly	совершенно верно
exam	экзамен
examination	экспертиза
examine	изучить
example	пример
excellent	отлично
except	за исключением
exchange	обмен
excited	возбужденных
excitement	волнение
exciting	захватывающие
excuse	извините
executive	исполнительный
exercise	упражнение
exhibit	выставка
exhibition	выставка
exist	существует
existence	существование
exit	выход
expand	разверните узел
expect	ожидать
expectation	ожидание
expected	ожидается
expense	расходы
expensive	дорогой
experience	опыт работы
experienced	опыт
experiment	эксперимент
expert	эксперт
explain	объяснить
explanation	объяснение
explode	взорваться
exploration	исследование
explore	исследовать
explosion	взрыв
export	экспорт
expose	разоблачение
express	экспресс
expression	выражение
extend	расширить
extent	степень
external	внешний
extra	дополнительные
extraordinary	чрезвычайный
extreme	экстрим
extremely	чрезвычайно
eye	глаз
face	лицо
facility	фонд
fact	факт
factor	фактор
factory	фабрика
fail	сбой
failure	провал
fair	ярмарка
fairly	довольно
faith	вера
fall	осень
false	значение false
familiar	знакомые
family	семья
famous	знаменитый
fan	вентилятор
fancy	фантазии
fantastic	фантастический; отличный
far	пока что
farm	ферма
farmer	фермер
farming	сельское хозяйство
fascinating	увлекательный; захватывающий
fashion	моды
fashionable	модная
fast	быстрый
fasten	закрепите
fat	жир
father	отец
fault	вина
favor	пользу
favorite	любимый
fear	страх
feather	перо
feature	функция
February	февраль
federal	федеральное
fee	плата
feed	корма
feedback	обратная связь; отзыв
feel	чувствовать себя
feeling	чувство
fellow	научный сотрудник
female	девушки
fence	забор
festival	фестиваль
fever	лихорадка
few	несколько
fiction	художественная литература; вымысел
field	поле
fifteen	пятнадцать
fifth	пятый
fifty	пятьдесят
fight	бой
fighting	боевые действия
figure	рисунок
file	файл
fill	заливка
film	фильм
final	окончательное
finally	и наконец
finance	финансы
financial	финансовые
find	найти
finding	находка; вывод (результат)
fine	штраф
finger	палец
finish	отделка
fire	огонь
firm	фирма
first	первый
fish	рыба
fishing	рыбалка
fit	покрой
fitness	физическая форма; фитнес
five	пять
fix	исправление
fixed	исправлено
flag	флаг
flame	пламя
flash	флэш
flat	квартира
flexible	гибкий
flight	рейс
float	поплавок
flood	наводнение
floor	этаж
flour	муки
flow	поток
flower	цветок
flu	грипп
fly	муха
flying	полет
focus	фокус
fold	сложите
folding	складные
folk	народный; люди
follow	следуйте
following	следующие
food	питание
foot	футов
football	футбол
for	для
force	силы
foreign	иностранные
forest	лес
forever	навсегда
forget	забыли
forgive	простить
fork	вилка
form	форма
formal	официальное
former	бывший
fortunately	к счастью
fortune	фортуна
forty	сорока
forward	вперед
found	найдено
four	четыре
fourteen	четырнадцать
fourth	четвертый
frame	кадр
free	бесплатно
freedom	свобода
freeze	замораживание
frequency	частота
frequently	часто
fresh	свежий
Friday	пятница
friend	друг
friendly	дружественные
friendship	дружба
frighten	пугают
frightened	пугало
frightening	страшно
frog	лягушка
from	от
front	фронт
frozen	замороженные
fruit	фрукты
fry	фрай
fuel	топливо
full	полный
fully	полностью
fun	развлечения
function	функция
fund	фонд
fundamental	основные
funding	финансирование
funny	смешно
fur	мех
furniture	мебель
further	далее
furthermore	кроме того; более того
future	будущее
gain	получить
gallery	галерея
game	игра
gang	банда; группировка
gap	разрыв
garage	гараж
garbage	мусор
garden	сад
gas	газ
gate	ворота
gather	сбор
general	общие
generally	как правило
generate	генерировать
generation	поколение
generous	щедрые
genre	жанр
gentle	нежный
gentleman	джентльмен
geography	география
get	получить
ghost	призрак
giant	гигант
gift	подарок
girl	девочка
girlfriend	подруга
give	дать
glad	рад
glass	стекло
global	глобальные
glove	перчатки
go	перейти
goal	цель
god	бог
gold	золото
golf	гольф
good	хорошее
goodbye	до свидания
goods	товары
govern	регулируют
government	правительство
governor	губернатор
grab	захватить
grade	класс
gradually	постепенно
graduate	выпускник; выпускаться
grain	зерно
grand	гранд
grandfather	дед
grandmother	бабушка
grandparent	дедушка
grant	грант
grass	трава
grateful	благодарность
gray	серый
great	прекрасно
green	грин
greet	приветствовать
grocery	бакалея
ground	земля
group	группа
grow	расти
growth	рост
guarantee	гарантия
guard	охранник
guess	угадай
guest	гость
guide	путеводитель
guilty	виновным
guitar	гитара
gun	пистолет
guy	гай
gym	спортзал
habit	привычка
hair	волосы
half	половина
hall	холл
hand	рука
handle	ручка
hang	зависание
happen	произойдет
happily	к счастью
happiness	счастье
happy	счастливый
hard	жесткий
hardly	вряд ли
harm	вреда
harmful	вредных
hat	шляпа
hate	ненавижу
have	у
have to	должен
he	он
head	руководитель
headache	головная боль
headline	заголовок (новости)
health	здравоохранение
healthy	здоровые
hear	слышать
hearing	слух
heart	сердце
heat	жара
heating	отопление
heaven	небеса
heavily	сильно
heavy	тяжелые
heel	каблук
height	высота
helicopter	вертолёт
hell	ада
hello	привет
help	справка
helpful	полезно
her	ее
here	здесь
hero	герой
hers	у нее
herself	сама
hesitate	колебаний
hey	эй; привет
hi	привет
hide	скрыть
high	высокая
highlight	голы
highly	очень
highway	шоссе
hill	хилл
him	его
himself	сам
hire	аренда
his	его
historic	исторический (значимый)
historical	исторические
history	история
hit	хит
hobby	хобби
hockey	хоккей
hold	удерживайте
hole	отверстие
holiday	праздник
hollow	пустотелые
holy	святой
home	домашняя страница
homework	домашнее задание
honest	серъёзная(ый)
honor	честь
hope	надежда
horrible	ужасный
horror	ужас
horse	лошадь
hospital	больница
host	хост
hot	горячие
hotel	отель
hour	стойка
house	дом
household	домашнее хозяйство
housing	жилье
how	как
however	однако
huge	огромные
human	человека
humor	юмор
humorous	с чувством юмора
hundred	сто
hungry	голодные
hunt	хант
hunting	охота
hurricane	ураган
hurry	спешите
hurt	больно
husband	муж
I	Я
ice	лед
ice cream	мороженое
idea	идея
ideal	идеальное
identify	определить
identity	личность
if	если
ignore	игнорировать
ill	плохо
illegal	незаконных
illness	болезни
illustrate	иллюстрации
illustration	иллюстрация
image	изображение
imaginary	мнимой
imagination	воображение
imagine	представьте себе
immediate	немедленно
immediately	немедленно
immigrant	иммигрант
impact	влияние
impatient	нетерпение
imply	подразумевает
import	импорт
importance	значение
important	важные
impose	навязать
impossible	невозможно
impress	впечатление
impressed	впечатление
impression	впечатление
impressive	впечатляющие
improve	улучшить
improvement	улучшение
in	в
inch	дюйм
incident	инцидент
include	включить
included	включённый; входящий в состав
including	включая
income	доход
increase	увеличить
increasingly	все больше и больше
incredible	невероятный
incredibly	невероятно; чрезвычайно
indeed	действительно
independent	независимая
indicate	укажите
indirect	косвенные
individual	индивидуальные
indoor	крытый
indoors	в помещении
industrial	промышленные
industry	промышленность
infection	инфекции
influence	влияние
inform	сообщить
informal	неофициальные
information	информация
ingredient	ингредиент
initial	первоначальный
initially	первоначально
initiative	инициатива
injure	повредить
injured	ранены
injury	травмы
inner	внутренний
innocent	невинный
inquiry	запрос; расследование
insect	насекомое
inside	внутри
insight	понимание; инсайт
insist	настаивать на том
inspire	вдохновлять
install	установка
instance	экземпляр
instead	вместо этого
institute	институт
institution	учреждение
instruction	инструкция
instructor	инструктор; преподаватель
instrument	инструмент
insurance	страхование
intelligence	интеллект
intelligent	интеллигентая(ый)
intend	намерены
intended	предназначен
intense	интенсивный; напряжённый
intention	намерение
interest	интерес
interested	заинтересованные
interesting	интересно
internal	внутренние
international	международные
internet	интернет
interpret	интерпретировать
interrupt	прерывание
interview	интервью
into	в
introduce	ввести
introduction	введение
invent	изобретать
invention	изобретение
invest	инвест
investigate	расследования
investigation	расследование
investment	инвестиции
invitation	приглашение
invite	пригласить
involve	включать
involved	участие
iron	утюг
island	остров
issue	выпуск
IT	ИТ; информационные технологии
it	это
item	элемент
its	его
itself	сам
jacket	куртка
jam	джем
January	январь
jazz	джаз
jeans	джинсы
jewelry	ювелирные изделия; украшения
job	работа
join	присоединиться
joke	шутка
journal	журнал; дневник
journalist	журналист
journey	путешествие
joy	джой
judge	судья
judgment	суждение; решение суда
juice	сок
July	июль
jump	прыжок
June	июнь
junior	полулюкс
just	просто
justice	правосудие
justify	оправдать
keep	сохранить
key	ключ
keyboard	клавиатура
kick	удар
kid	детские
kill	убить
killing	убийство
kilometer	километр
kind (type)	вид; тип
kind (caring)	добрый; заботливый
king	кинг
kiss	поцелуй
kitchen	кухня
knee	колено
knife	нож
knock	стук
know	знать
knowledge	знания
lab	лаборатория
label	лейбл
labor	труда
laboratory	лаборатория
lack	отсутствие
lady	леди
lake	озеро
lamp	лампа
land	земля
landscape	пейзаж
language	язык
laptop	ноутбук
large	большие
largely	значительной степени
last1 (final)	последний
last1 (taking time)	длиться
late	в конце
later	позже
latest	последние
laugh	смеяться
laughter	смех
launch	запуск
law	закон
lawyer	юрист
lay	заложить
layer	слой
lazy	ленивый
lead1	вести; руководить
leader	лидер
leadership	лидерство; руководство
leading	ведущий; передовой
leaf	лист
league	лига
lean	худой
learn	узнайте
learning	обучение; учёба
least	наименее
leather	кожа
leave	отпуск
lecture	лекция
left	слева
leg	нога
legal	юридические
leisure	досуг
lemon	лимон
lend	ленд
length	длина
less	меньше
lesson	урок
let	пусть
letter	письмо
level	уровень
library	библиотека
license	лицензия
lie1	лежать
lie2 (tell a lie)	лгать
life	жизнь
lifestyle	образ жизни
lift	подъемник
light (from the sun/a lamp)	свет
light (not heavy)	лёгкий (не тяжёлый)
like (similar)	как; похожий (на)
like (find sb/sth pleasant)	нравиться; любить
likely	скорее всего,
limit	предел
limited	ограниченный
line	линия
link	ссылка
lion	лев
lip	для губ
liquid	жидкость
list	список
listen	прослушать
listener	слушатель
literature	литература
little	маленький
live1	жить
live2	в прямом эфире; живой (не записи)
lively	оживленные
living	жизни
load	загрузить
loan	кредит
local	местные
locate	найдите
located	расположен
location	местоположение
lock	замок
logical	логические
lonely	одинокий
long1	длинный; долгий
long-term	долгосрочный
look	смотреть
loose	потерять
lord	лорд
lose	потерять
loss	потеря
lost	потеряли
lot	много
loud	громко
loudly	громко
love	любовь
low	низкая
lower	нижний; снижать
luck	удача
lucky	лаки
lunch	обед
lung	легких
luxury	роскошь
machine	машина
mad	безумный
magazine	журнал
magic	магия
mail	почта
main	главная
mainly	главным образом
maintain	сохранить
major	основные
majority	большинство
make	сделать
male	мужчины
mall	торговый центр
man	человек
manage	управление
management	управления
manager	менеджер
manner	образом
many	многие
map	карта
March	март
mark	марк
market	рынок
marketing	маркетинг
marriage	брак
married	женат
marry	жениться
mass	масса
massive	массивные
master	мастер
match (contest/correspond)	матч; соответствовать
matching	сопоставление
material	материал
math	математика
mathematics	математика
matter	вопрос
maximum	максимальная
May	мая
may	мая
maybe	может быть
mayor	мэр
me	меня
meal	питание
mean	среднее
meaning	смысл
means	средства
meanwhile	тем временем
measure	мера
measurement	измерение
meat	мясо
media	средства массовой информации
medical	медицинские
medicine	медицина
medium	средний
meet	встретиться
meeting	совещание
melt	расплава
member	член
memory	память
mental	психического
mention	упоминание
menu	меню
mess	беспорядок
message	сообщение
metal	металл
meter	метр
method	метод
middle	средний
midnight	полночь
might	возможно
mild	мягкий
mile	миля
military	военные
milk	молоко
million	млн.
mind	разум
mine (belongs to me)	мой; моя; моё
mine (hole in the ground)	шахта; рудник; мина
mineral	минерал
minimum	минимум
minister	министр
minor	минор
minority	меньшинство
minute1	минута
mirror	зеркало
miss	мисс
missing	отсутствует
mission	миссия; задание
mistake	ошибка
mix	микс
mixed	смешанная
mixture	смесь
model	модель
modern	современные
modify	изменять; модифицировать
mom	мама
moment	момент
Monday	понедельник
money	деньги
monitor	монитор
monkey	обезьяна
month	месяц
mood	настроение
moon	луна
moral	моральная
more	больше
morning	утро
most	большинство
mostly	главным образом
mother	мать
motor	мотор
motorcycle	мотоцикл
mount	гора
mountain	гора
mouse	мышь
mouth	рот
move	перемещение
movement	движение
movie	фильм
much	много
mud	грязи
multiple	множественный; несколько
multiply	умножить
murder	убийство
muscle	мышца
museum	музей
music	музыка
musical	музыкальные
musician	музыкант
must	необходимо
my	мой
myself	сам
mysterious	таинственный
mystery	тайна
nail	гвоздь
name	имя
narrative	повествование; рассказ
narrow	узкий
nation	нация
national	национальные
native	родной; местный
natural	природные
naturally	естественно
nature	природа
near	вблизи
nearly	почти
neat	аккуратно
necessarily	обязательно
necessary	необходимые
neck	шея
need	необходимость
needle	игла
negative	негативные
neighbor	сосед
neighborhood	район; соседство
neither	ни
nerve	нерв
nervous	нервной
net	нетто
network	сеть
never	никогда не
nevertheless	тем не менее
new	новые функции
news	новости
newspaper	газета
next	следующая
next to	рядом с
nice	ницца
night	ночь
nightmare	кошмар
nine	девять
nineteen	девятнадцать
ninety	девяносто
no	нет
no one	никто
nobody	никто не
noise	шум
noisy	шумный
none	нет
nor	и не
normal	нормальный
normally	обычно
north	север
northern	северный
nose	нос
not	не
note	примечание
nothing	ничего не
notice	обратите внимание
notion	понятие; представление
novel	роман
November	ноябрь
now	теперь
nowhere	нигде
nuclear	ядерные
numerous	многочисленный
nurse	медсестра
nut	гайка
obey	повиноваться
object	объект
objective	цель
obligation	обязательство
observation	наблюдение
observe	соблюдайте
obtain	получить
obvious	очевидно
obviously	очевидно, что
occasion	случаю
occasionally	иногда
occur	происходят
ocean	океан
o'clock	час (о времени)
October	октябрь
odd	нечетные
of	из
off	выкл.
offend	обидеть
offense	преступление
offensive	наступление
offer	предложение
office	управление
officer	офицер
official	официальный
often	часто
oh	ох
oil	нефть
